ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
"S1692-25302019000200093-col","La planeación en los contratos de obra pública en Colombia ¿principio, deber o requisito? Obligatoriedad y consecuencias de su inaplicación","Rúa Flechas, Marissa, Arbeláez Restrepo, Juan Carlos, Castro Beltrán, Harol","Opinión Jurídica; 18(37); 93-115","Opinión Jurídica","Español","2019","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-25302019000200093&lang=es" 
"S0185-013X2019000300609-mex","Los recursos y las capacidades de la política exterior de México (2012-2018)","Schiavon, Jorge A., Figueroa Fischer, Bruno","Foro internacional; 59(3-4); 609-642","Foro internacional","Español","2019","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-013X2019000300609&lang=es" 
"S2477-92452019000100309-ecu","La economía de la felicidad y la inversión pública en Ecuador: evidencias de una relación causal","Moncayo Vives, Guido Andrés","Estado &amp; comunes, revista de políticas y problemas públicos; 2(9); 309-332","Estado &amp; comunes, revista de políticas y problemas públicos","Español","2019","http://scielo.senescyt.gob.ec/scielo.php?script=sci_arttext&pid=S2477-92452019000100309&lang=es" 
"S0718-65682019000200168-chl","Programas de transferência condicionada de renda na ótica dos direitos sociais: uma opção para o combate das vulnerabilidades brasileiras","Córdova, Ismael de, Gonçalves Alves, Ismael","Polis (Santiago); 18(53); 168-191","Polis (Santiago)","Portugués","2019","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-65682019000200168&lang=es" 
"S1405-14352019000200008-mex","La brecha salarial de género en las instituciones científicas. Estudio de caso","Jabbaz, Marcela, Samper-Gras, Teresa, Díaz, Capitolina","Convergencia; 26(80); -","Convergencia","Español","2019","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-14352019000200008&lang=es" 
"S2007-53082019000200049-mex","La diplomacia panda y el caso de México","Cerda Dueñas, Carlos","México y la cuenca del pacífico; 8(23); 49-66","México y la cuenca del pacífico","Español","2019","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-53082019000200049&lang=es" 
"S0718-00122019000200223-chl","El juicio por jurados. La experiencia de Buenos Aires y Neuquén, Argentina","Schiavo, Nicolás","Ius et Praxis; 25(2); 223-260","Ius et Praxis","Español","2019","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-00122019000200223&lang=es" 
"S0718-68512019000100225-chl","El arbitraje con entes estatales en brasil después de la reforma de 2015","Vasconcelos Roque, Andre","Revista de derecho (Valparaíso); (52); 225-254","Revista de derecho (Valparaíso)","Español","2019","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-68512019000100225&lang=es" 
"S0120-63462019000200169-col","MODELOS ALTERNATIVOS PARA EXPLICAR LA EVOLUCIÓN DEL GASTO PÚBLICO ESPAÑOL","Jaén García, Manuel","Semestre Económico; 22(51); 169-199","Semestre Económico","Español","2019","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-63462019000200169&lang=es" 
"S1390-42992019000100078-ecu","Controversias por la administración penitenciaria en Costa Rica, en el contexto del hiperencarcelamiento","Bedoya Ureña, Jesús","URVIO Revista Latinoamericana de Estudios de Seguridad; (24); 78-97","URVIO Revista Latinoamericana de Estudios de Seguridad","Español","2019","http://scielo.senescyt.gob.ec/scielo.php?script=sci_arttext&pid=S1390-42992019000100078&lang=es" 
"S2448-718X2019000200343-mex","El efecto del partido político del alcalde sobre variables de gasto municipal","Acuña, Hector, Carrasco, Diego, Carrasco, Martín, Soto, Andrés","El trimestre económico; 86(342); 343-404","El trimestre económico","Español","2019","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2448-718X2019000200343&lang=es" 
"S1909-44502019000100043-col","HACIA UNA DEFINICIÓN JURÍDICA DE REGULACIÓN ECONÓMICA","Carbajales, Mariano","Revista republicana; (26); 43-66","Revista republicana","Español","2019","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-44502019000100043&lang=es" 
"S1909-44502019000100043-col","HACIA UNA DEFINICIÓN JURÍDICA DE REGULACIÓN ECONÓMICA","Carbajales, Mariano","Revista republicana; (26); 43-66","Revista republicana","Español","2019","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-44502019000100043&lang=es" 
"S1405-10792019000100069-mex","Análisis de la equidad en los procedimientos organizacionales como antecedente de acoso laboral en la administración pública. Su exploración en la estructura organizacional de los ayuntamientos","Díaz-García, Orlanda","Gestión y política pública; 28(1); 69-105","Gestión y política pública","Español","2019","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-10792019000100069&lang=es" 
"S1405-10792019000100237-mex","Propuesta de indicadores para evaluar la sostenibilidad económica de proyectos culturales. Caso de estudio: PACMyC","Zamacona Aboumrad, Guillermo Alfredo, Alabart Spottorno, Yago","Gestión y política pública; 28(1); 237-269","Gestión y política pública","Español","2019","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-10792019000100237&lang=es" 
"S0120-89422019000100069-col","El Estado regulador. Implicancias para el control judicial de la discrecionalidad administrativa","Carbajales, Mariano","Díkaion; 28(1); 69-89","Díkaion","Español","2019","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-89422019000100069&lang=es" 
"S2588-09692019000100035-ecu","Sistema de Gestión de Calidad en el Sector público. Una revisión literaria","Cepeda Duarte, Juan Pablo, Cifuentes Martínez, Wilson Eduardo","Podium; (36); 35-54","Podium","Español","2019","http://scielo.senescyt.gob.ec/scielo.php?script=sci_arttext&pid=S2588-09692019000100035&lang=es" 
"S0718-34372019000100129-chl","DERECHO PROCESAL TRANSFORMADOR EN LA REPARACIÓN DE LAS NUEVAS VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA: DESAFÍOS PARA EL PROCESO DE RESPONSABILIDAD DEL ESTADO","Yáñez Meza, Diego Armando, Jiménez Escalante, Jessica Tatiana","Revista chilena de derecho; 46(1); 129-154","Revista chilena de derecho","Español","2019","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372019000100129&lang=es" 
"S1794-31082019000100051-col","El rescate de espacios públicos en México: una aproximación a la política pública de prevención situacional del delito","Jasso-López, Lucía Carmina","Revista Criminalidad; 61(1); 51-67","Revista Criminalidad","Español","2019","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082019000100051&lang=es" 
"S1900-65862019000100068-col","Entre el discurso y la acción efectiva: las contradicciones de la política de defensa de Macri","Anzelini, Luciano","Revista Científica General José María Córdova; 17(25); 68-90","Revista Científica General José María Córdova","Español, Inglés","2019","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1900-65862019000100068&lang=es" 
"S0185-013X2019000100147-mex","Táctica de política. Pequeños cambios para mejorar la gerencia pública","Meza, Oliver, Moreno Jaimes, Carlos","Foro internacional; 59(1); 147-187","Foro internacional","Español","2019","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-013X2019000100147&lang=es" 
"S0121-50512019000100097-col","Emprendimiento en la administración local: un estudio empírico de la información contenida en los portales electrónicos de los municipios del Alentejo, región de Portugal","Nevado Gil, María Teresa, Gallardo-Vázquez, Dolores, Carvalho, Luisa","Innovar; 29(71); 97-112","Innovar","Español","2019","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-50512019000100097&lang=es" 
"S2314-37382019000100089-arg","REALIDAD DE LAS ESTRUCTURAS ORGANIZACIONALES EN EL SECTOR PÚBLICO ECUATORIANO 2007-2016","Mantilla Fuentes, Andrés Mauricio, Rojas Fárez, Maritza de los Ángeles","Ciencias administrativas; (13); 89-99","Ciencias administrativas","Español","2019","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S2314-37382019000100089&lang=es" 
"S1870-69162019000200070-mex","Ética pública, profesionalización y corrupción en México. Análisis del efecto Chum","Lindor, Moïse","Tla-melaua; 13(47); 70-109","Tla-melaua","Español","2019","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-69162019000200070&lang=es" 
"S2448-51362019000100106-mex","Democracy and electoral reforms in Mexico","Torres Rodríguez, Ignacio Daniel, Ahuactzin Martínez, Carlos Enrique","Derecho global. Estudios sobre derecho y justicia; 4(11); 143-162","Derecho global. Estudios sobre derecho y justicia","Inglés","2019","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2448-51362019000100106&lang=es" 
"S0718-09502019000200185-chl","El desafío de las concesiones de obra pública: ¿qué (y qué no) concesionar?","Loo Gutiérrez*, Martín","Revista de derecho (Valdivia); 32(2); 185-206","Revista de derecho (Valdivia)","Español","2019","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-09502019000200185&lang=es" 
"S2007-49642019000100233-mex","¿Siguen operando los Aparatos Políticos en los gobiernos municipales de México?","Cáñez Cota, Antonio","Intersticios sociales; (17); 233-257","Intersticios sociales","Español","2019","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-49642019000100233&lang=es" 
"S0251-34202019000100013-per","Los acuerdos interinstitucionales en la práctica peruana de derecho internacional","Mezarina García, Silvio Jesús, Rosales Zamora, Pablo César","Derecho PUCP; (82); 371-406","Derecho PUCP","Español","2019","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S0251-34202019000100013&lang=es" 
"S0251-34202019000100014-per","¿Caducidad o prescripción?: De la reparación civil en los casos de sentencias derivadas de procesos penales por delitos contra la Administración pública en el ordenamiento jurídico peruano","Díaz Castillo, Ingrid, Mendoza Del Maestro, Gilberto","Derecho PUCP; (82); 407-434","Derecho PUCP","Español","2019","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S0251-34202019000100014&lang=es" 
"S1851-31232018000400002-arg","La violencia laboral desde una perspectiva de género en la Administración Pública de la provincia de Corrientes","González, Verónica Itatí","Revista Pilquen; 21(4); 10-21","Revista Pilquen","Español","2018","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-31232018000400002&lang=es" 
"S0120-81602018000300109-col","Modelo de seguimiento a proyectos como herramienta en la interventoría de contratos","Prieto Cárdenas, César Augusto","Revista EAN; (spe); 109-123","Revista EAN","Español","2018","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-81602018000300109&lang=es" 
"S0124-74412018000200555-col","Clientelismo armado en el Caribe colombiano por medio de la Reconfiguración cooptada del Estado. El caso del Bloque Norte de la Autodefensas Unidas de Colombia.","Trejos, Luis Fernando, Guzmán Cantillo, Jolie","Justicia; (34); 555-578","Justicia","Español","2018","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-74412018000200555&lang=es" 
"S0124-74412018000200456-col","La educación y su relación con la administración pública y gobernanza","Gómez Trujillo, Carlos Arturo","Justicia; (34); 456-470","Justicia","Español","2018","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-74412018000200456&lang=es" 
"S1405-14352018000300153-mex","Transparencia en los municipios españoles: determinantes de la divulgación de información","Tejedo-Romero, Francisca, Ferraz Esteves-Araujo, Joaquim Filipe","Convergencia; 25(78); 153-174","Convergencia","Inglés, Español","2018","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-14352018000300153&lang=es" 
"S1405-14352018000300175-mex","Valor público, gobernanza y Tercera Vía","Fernández-Santillán, José","Convergencia; 25(78); 175-193","Convergencia","Inglés, Español","2018","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-14352018000300175&lang=es" 
"S0120-81602018000200057-col","Impacto de la norma social subjetiva en la intención de emprendimiento sostenible: un caso de estudio con estudiantes colombianos","Gálvez-Albarracín, Edgar Julián, Guauña-Aguilar, Rafael Andrés, Pérez-Uribe, Rafael Ignacio","Revista EAN; (85); 57-74","Revista EAN","Español","2018","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-81602018000200057&lang=es" 
"S0123-59232018000400445-col","Nivel de inglés en los programas de Administración de Empresas en Colombia: la meta está lejos","Alonso, Julio César, Estrada, Daniela, Mueces, Brigitte Vanessa","Estudios Gerenciales; 34(149); 445-456","Estudios Gerenciales","Español","2018","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232018000400445&lang=es" 
"S0121-182X2018000200033-col","ANOTAÇÕES SOBRE A LEI FEDERAL INSTITUIDORA DAS PARCERIAS PÚBLICAS E PRIVADAS NO SISTEMA JURÍDICO BRASILEIRO","Rangel Rosso Nelson, Rocco Antonio","Prolegómenos; 21(42); 33-55","Prolegómenos","Portugués","2018","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-182X2018000200033&lang=es" 
